ms,x_gaze,y_gaze,valid,card_id_gaze,grid_position_gaze,x_click,y_click,flip,matched,card_id_click,grid_position_click
7109,1266,1165,1,4,23,-1,-1,-1,-1,-1,-1
7138,1264,1166,1,4,23,-1,-1,-1,-1,-1,-1
7183,1210,1168,1,4,23,-1,-1,-1,-1,-1,-1
7213,1155,1177,1,4,23,-1,-1,-1,-1,-1,-1
7246,1077,1182,1,-1,-1,-1,-1,-1,-1,-1,-1
7279,1077,1182,0,-1,-1,-1,-1,-1,-1,-1,-1
7309,999,1186,1,2,22,-1,-1,-1,-1,-1,-1
7341,942,1189,1,2,22,-1,-1,-1,-1,-1,-1
7373,932,1192,1,2,22,-1,-1,-1,-1,-1,-1
7405,945,1189,1,2,22,-1,-1,-1,-1,-1,-1
7439,961,1191,1,2,22,-1,-1,-1,-1,-1,-1
7469,962,1190,1,2,22,-1,-1,-1,-1,-1,-1
7501,948,1187,1,2,22,-1,-1,-1,-1,-1,-1
7536,932,1183,1,2,22,-1,-1,-1,-1,-1,-1
7581,886,1176,1,2,22,-1,-1,-1,-1,-1,-1
7613,865,1171,1,2,22,-1,-1,-1,-1,-1,-1
7647,843,1171,1,2,22,-1,-1,-1,-1,-1,-1
7678,822,1170,1,2,22,-1,-1,-1,-1,-1,-1
7709,818,1169,1,2,22,-1,-1,-1,-1,-1,-1
7741,829,1169,1,2,22,-1,-1,-1,-1,-1,-1
7778,809,1167,1,2,22,-1,-1,-1,-1,-1,-1
7805,805,1165,1,2,22,-1,-1,-1,-1,-1,-1
7837,802,1164,1,2,22,-1,-1,-1,-1,-1,-1
7869,788,1164,1,2,22,-1,-1,-1,-1,-1,-1
7903,783,1167,1,2,22,-1,-1,-1,-1,-1,-1
7927,794,1172,1,2,22,-1,-1,-1,-1,-1,-1
7980,815,1170,1,2,22,-1,-1,-1,-1,-1,-1
8025,822,1178,1,2,22,-1,-1,-1,-1,-1,-1
8053,839,1180,1,2,22,-1,-1,-1,-1,-1,-1
8085,858,1184,1,2,22,-1,-1,-1,-1,-1,-1
8113,858,1184,0,2,22,-1,-1,-1,-1,-1,-1
8143,856,1179,1,2,22,-1,-1,-1,-1,-1,-1
8175,859,1174,1,2,22,-1,-1,-1,-1,-1,-1
8206,886,1169,1,2,22,-1,-1,-1,-1,-1,-1
8237,897,1169,1,2,22,-1,-1,-1,-1,-1,-1
8271,893,1169,1,2,22,-1,-1,-1,-1,-1,-1
8301,893,1169,0,2,22,-1,-1,-1,-1,-1,-1
8333,919,1172,1,2,22,-1,-1,-1,-1,-1,-1
8367,919,1172,0,2,22,-1,-1,-1,-1,-1,-1
8411,917,1172,1,2,22,-1,-1,-1,-1,-1,-1
8444,888,1158,1,2,22,-1,-1,-1,-1,-1,-1
8478,878,1143,1,2,22,-1,-1,-1,-1,-1,-1
8510,861,1099,1,2,22,-1,-1,-1,-1,-1,-1
8540,834,1053,1,2,22,-1,-1,-1,-1,-1,-1
8575,821,1003,1,2,22,-1,-1,-1,-1,-1,-1
8609,816,959,1,2,22,-1,-1,-1,-1,-1,-1
8641,792,908,1,2,22,-1,-1,-1,-1,-1,-1
8671,779,884,1,2,22,-1,-1,-1,-1,-1,-1
8704,791,867,1,2,22,-1,-1,-1,-1,-1,-1
8733,786,861,1,2,22,-1,-1,-1,-1,-1,-1
8769,798,857,1,2,22,-1,-1,-1,-1,-1,-1
8797,813,856,1,2,22,-1,-1,-1,-1,-1,-1
8845,825,853,1,2,22,-1,-1,-1,-1,-1,-1
8877,805,851,1,2,22,-1,-1,-1,-1,-1,-1
8911,811,851,1,2,22,-1,-1,-1,-1,-1,-1
8941,810,849,1,2,22,-1,-1,-1,-1,-1,-1
8973,809,843,1,2,22,-1,-1,-1,-1,-1,-1
9004,804,851,1,2,22,-1,-1,-1,-1,-1,-1
9039,817,858,1,2,22,-1,-1,-1,-1,-1,-1
9069,815,861,1,2,22,-1,-1,-1,-1,-1,-1
9101,813,867,1,2,22,-1,-1,-1,-1,-1,-1
9134,817,877,1,2,22,-1,-1,-1,-1,-1,-1
9165,826,875,1,2,22,-1,-1,-1,-1,-1,-1
9197,818,871,1,2,22,-1,-1,-1,-1,-1,-1
9246,824,868,1,2,22,-1,-1,-1,-1,-1,-1
9278,819,868,1,2,22,-1,-1,-1,-1,-1,-1
9309,821,862,1,2,22,-1,-1,-1,-1,-1,-1
9352,810,855,1,2,22,-1,-1,-1,-1,-1,-1
9384,814,842,1,2,22,-1,-1,-1,-1,-1,-1
9409,828,825,1,2,22,-1,-1,-1,-1,-1,-1
9438,853,804,1,-1,-1,-1,-1,-1,-1,-1,-1
9468,844,785,1,-1,-1,-1,-1,-1,-1,-1,-1
9501,862,767,1,-1,-1,-1,-1,-1,-1,-1,-1
9535,849,759,1,-1,-1,-1,-1,-1,-1,-1,-1
9564,823,757,1,-1,-1,-1,-1,-1,-1,-1,-1
9596,804,751,1,4,12,-1,-1,-1,-1,-1,-1
9630,811,755,1,-1,-1,-1,-1,-1,-1,-1,-1
9677,809,757,1,-1,-1,-1,-1,-1,-1,-1,-1
9709,844,783,1,-1,-1,-1,-1,-1,-1,-1,-1
9741,926,837,1,2,22,-1,-1,-1,-1,-1,-1
9776,986,881,1,2,22,-1,-1,-1,-1,-1,-1
9805,1021,926,1,2,22,-1,-1,-1,-1,-1,-1
9836,1037,967,1,2,22,-1,-1,-1,-1,-1,-1
9868,1042,978,1,2,22,-1,-1,-1,-1,-1,-1
9905,1026,961,1,2,22,-1,-1,-1,-1,-1,-1
9934,1115,939,1,4,23,-1,-1,-1,-1,-1,-1
9965,1227,915,1,4,23,-1,-1,-1,-1,-1,-1
9997,1323,909,1,4,23,-1,-1,-1,-1,-1,-1
10032,1386,896,1,4,23,-1,-1,-1,-1,-1,-1
10062,1414,878,1,4,23,-1,-1,-1,-1,-1,-1
10111,1367,867,1,4,23,-1,-1,-1,-1,-1,-1
10144,1309,842,1,4,23,-1,-1,-1,-1,-1,-1
10190,1292,797,1,-1,-1,-1,-1,-1,-1,-1,-1
10216,1272,774,1,-1,-1,-1,-1,-1,-1,-1,-1
10250,1217,771,1,-1,-1,-1,-1,-1,-1,-1,-1
10278,1155,774,1,-1,-1,-1,-1,-1,-1,-1,-1
10303,1117,808,1,4,23,-1,-1,-1,-1,-1,-1
10336,1143,849,1,4,23,-1,-1,-1,-1,-1,-1
10367,1223,875,1,4,23,-1,-1,-1,-1,-1,-1
10399,1345,890,1,4,23,-1,-1,-1,-1,-1,-1
10430,1435,932,1,4,23,-1,-1,-1,-1,-1,-1
10462,1530,956,1,4,23,-1,-1,-1,-1,-1,-1
10493,1520,1016,1,4,23,-1,-1,-1,-1,-1,-1
10544,1480,1066,1,4,23,-1,-1,-1,-1,-1,-1
10573,1440,1105,1,4,23,-1,-1,-1,-1,-1,-1
10606,1435,1127,1,4,23,-1,-1,-1,-1,-1,-1
10640,1387,1143,1,4,23,-1,-1,-1,-1,-1,-1
10669,1398,1132,1,4,23,-1,-1,-1,-1,-1,-1
10702,1398,1136,1,4,23,-1,-1,-1,-1,-1,-1
10735,1398,1136,0,4,23,-1,-1,-1,-1,-1,-1
10768,1379,1139,1,4,23,-1,-1,-1,-1,-1,-1
10799,1377,1139,1,4,23,-1,-1,-1,-1,-1,-1
10830,1352,1134,1,4,23,-1,-1,-1,-1,-1,-1
10862,1332,1130,1,4,23,-1,-1,-1,-1,-1,-1
10894,1341,1127,1,4,23,-1,-1,-1,-1,-1,-1
10942,1366,1127,1,4,23,-1,-1,-1,-1,-1,-1
10974,1345,1120,1,4,23,-1,-1,-1,-1,-1,-1
11007,1385,1125,1,4,23,-1,-1,-1,-1,-1,-1
11037,1393,1123,1,4,23,-1,-1,-1,-1,-1,-1
11069,1384,1118,1,4,23,-1,-1,-1,-1,-1,-1
11102,1366,1111,1,4,23,-1,-1,-1,-1,-1,-1
11142,1372,1113,1,4,23,-1,-1,-1,-1,-1,-1
11173,1370,1107,1,4,23,-1,-1,-1,-1,-1,-1
11204,1373,1099,1,4,23,-1,-1,-1,-1,-1,-1
11235,1390,1093,1,4,23,-1,-1,-1,-1,-1,-1
11265,1405,1086,1,4,23,-1,-1,-1,-1,-1,-1
11297,1413,1077,1,4,23,-1,-1,-1,-1,-1,-1
11328,1415,1085,1,4,23,-1,-1,-1,-1,-1,-1
11374,1420,1083,1,4,23,-1,-1,-1,-1,-1,-1
11405,1437,1091,1,4,23,-1,-1,-1,-1,-1,-1
11437,1452,1100,1,4,23,-1,-1,-1,-1,-1,-1
11469,1444,1104,1,4,23,-1,-1,-1,-1,-1,-1
11502,1367,1080,1,4,23,-1,-1,-1,-1,-1,-1
11533,1256,1054,1,4,23,-1,-1,-1,-1,-1,-1
11568,1256,1054,0,4,23,-1,-1,-1,-1,-1,-1
11597,1125,1003,1,4,23,-1,-1,-1,-1,-1,-1
11629,1006,951,1,2,22,-1,-1,-1,-1,-1,-1
11663,909,899,1,2,22,-1,-1,-1,-1,-1,-1
11693,839,871,1,2,22,-1,-1,-1,-1,-1,-1
11725,829,844,1,2,22,-1,-1,-1,-1,-1,-1
11758,828,828,1,2,22,-1,-1,-1,-1,-1,-1
11804,819,810,1,2,22,-1,-1,-1,-1,-1,-1
11837,835,794,1,-1,-1,-1,-1,-1,-1,-1,-1
11872,835,794,0,-1,-1,-1,-1,-1,-1,-1,-1
11904,871,774,1,-1,-1,-1,-1,-1,-1,-1,-1
11937,853,780,1,-1,-1,-1,-1,-1,-1,-1,-1
11967,840,779,1,-1,-1,-1,-1,-1,-1,-1,-1
11999,828,780,1,-1,-1,-1,-1,-1,-1,-1,-1
12030,798,782,1,-1,-1,-1,-1,-1,-1,-1,-1
12062,783,781,1,-1,-1,-1,-1,-1,-1,-1,-1
12095,783,781,0,-1,-1,-1,-1,-1,-1,-1,-1
12125,808,769,1,-1,-1,-1,-1,-1,-1,-1,-1
12157,823,769,1,-1,-1,-1,-1,-1,-1,-1,-1
12188,836,771,1,-1,-1,-1,-1,-1,-1,-1,-1
12238,850,775,1,-1,-1,-1,-1,-1,-1,-1,-1
12269,857,775,1,-1,-1,-1,-1,-1,-1,-1,-1
12312,857,775,0,-1,-1,-1,-1,-1,-1,-1,-1
12340,841,768,1,-1,-1,-1,-1,-1,-1,-1,-1
12370,830,756,1,-1,-1,-1,-1,-1,-1,-1,-1
12397,840,751,1,4,12,-1,-1,-1,-1,-1,-1
12429,834,742,1,4,12,-1,-1,-1,-1,-1,-1
12463,836,734,1,4,12,-1,-1,-1,-1,-1,-1
12493,833,727,1,4,12,-1,-1,-1,-1,-1,-1
12525,842,727,1,4,12,-1,-1,-1,-1,-1,-1
12559,819,721,1,4,12,-1,-1,-1,-1,-1,-1
12589,822,731,1,4,12,-1,-1,-1,-1,-1,-1
12637,862,780,1,-1,-1,-1,-1,-1,-1,-1,-1
12669,975,812,1,2,22,-1,-1,-1,-1,-1,-1
12703,1090,847,1,-1,-1,-1,-1,-1,-1,-1,-1
12734,1207,902,1,4,23,-1,-1,-1,-1,-1,-1
12765,1288,939,1,4,23,-1,-1,-1,-1,-1,-1
12798,1281,935,1,4,23,-1,-1,-1,-1,-1,-1
12829,1178,937,1,4,23,-1,-1,-1,-1,-1,-1
12861,1045,917,1,2,22,-1,-1,-1,-1,-1,-1
12893,937,871,1,2,22,-1,-1,-1,-1,-1,-1
12927,849,827,1,2,22,-1,-1,-1,-1,-1,-1
12957,849,827,0,2,22,-1,-1,-1,-1,-1,-1
12989,727,808,1,2,22,-1,-1,-1,-1,-1,-1
13021,636,803,1,-1,-1,-1,-1,-1,-1,-1,-1
13070,557,815,1,-1,-1,-1,-1,-1,-1,-1,-1
13100,454,826,1,3,21,-1,-1,-1,-1,-1,-1
13133,362,838,1,3,21,-1,-1,-1,-1,-1,-1
13169,364,825,1,3,21,-1,-1,-1,-1,-1,-1
13198,402,819,1,3,21,-1,-1,-1,-1,-1,-1
13229,451,807,1,3,21,-1,-1,-1,-1,-1,-1
13262,521,802,1,-1,-1,-1,-1,-1,-1,-1,-1
13292,586,795,1,-1,-1,-1,-1,-1,-1,-1,-1
13325,641,787,1,-1,-1,-1,-1,-1,-1,-1,-1
13357,660,772,1,-1,-1,-1,-1,-1,-1,-1,-1
13389,667,764,1,-1,-1,-1,-1,-1,-1,-1,-1
13421,630,769,1,-1,-1,-1,-1,-1,-1,-1,-1
13453,583,775,1,-1,-1,-1,-1,-1,-1,-1,-1
13502,528,782,1,-1,-1,-1,-1,-1,-1,-1,-1
13537,468,799,1,-1,-1,-1,-1,-1,-1,-1,-1
13568,407,809,1,3,21,-1,-1,-1,-1,-1,-1
13598,395,805,1,-1,-1,-1,-1,-1,-1,-1,-1
13629,376,808,1,3,21,-1,-1,-1,-1,-1,-1
13664,371,813,1,3,21,-1,-1,-1,-1,-1,-1
13694,372,811,1,3,21,-1,-1,-1,-1,-1,-1
13724,382,809,1,3,21,-1,-1,-1,-1,-1,-1
13757,381,809,1,3,21,-1,-1,-1,-1,-1,-1
13789,392,808,1,3,21,-1,-1,-1,-1,-1,-1
13821,391,807,1,3,21,-1,-1,-1,-1,-1,-1
13853,392,804,1,-1,-1,-1,-1,-1,-1,-1,-1
13893,389,802,1,-1,-1,-1,-1,-1,-1,-1,-1
13933,390,796,1,-1,-1,-1,-1,-1,-1,-1,-1
13968,390,796,0,-1,-1,-1,-1,-1,-1,-1,-1
13997,392,783,1,-1,-1,-1,-1,-1,-1,-1,-1
14029,400,767,1,-1,-1,-1,-1,-1,-1,-1,-1
